Feature,Chi2_Score,P_Value
documents,5.116690061683379,0.16344924257337987
thinking,5.115809186974701,0.16351080568771145
wonder,5.114296984917837,0.16361654227858521
funny,5.100724259718902,0.16456846215828075
aid,5.082116686065493,0.16588196881243183
member,5.082103285220997,0.16588291831928034
nazi,5.082103285220997,0.16588291831928034
standing,5.078935009008118,0.16610754764792843
pay,5.0762000491037,0.16630168500954212
leadingreport,5.063567893648601,0.167201132118564
care,5.0387410870616485,0.16898221269052432
congress,5.035717362636711,0.16920034888190674
came,4.989072378890869,0.17259906943046666
problem,4.974615070425715,0.17366541868919405
california,4.970047552029237,0.1740035944124407
cheney,4.94907623105834,0.17556423693376844
barack,4.935019255143173,0.17661766260682865
response,4.910707177224552,0.17845359354974963
administration,4.907578652205808,0.17869113845534582
investigation,4.899711832887717,0.17928976487802162
killed,4.896651583925916,0.1795231416620061
patrol,4.894025560380534,0.17972363077811887
january,4.891090089812612,0.1799479933286124
home,4.890617680165377,0.17998412480779424
staff,4.882974679544798,0.18056963156430164
times,4.811629943288078,0.18612171876501377
acnewsitics,4.787415399073387,0.1880420834663729
gaza,4.780049961171053,0.18862986761351913
immigrants,4.776085006627561,0.18894699247108893
powerful,4.700164114631649,0.19511603602081487
lauraloomer,4.687145037664273,0.19619258076970575
america,4.681987559392661,0.196620578616701
pa,4.674001611770667,0.19728501424973086
